,building_name,osm_id,building_type,latitude,longitude
B240,Geata an Eolais,211933631,building,53.27670209742342,-9.063142724157649
B241,Geata na Cathrach,164856657,building,53.274243091771496,-9.044279237759287
B242,Gentian Hill House,211745000,building,53.258873653701265,-9.107516729181144
B243,Glenoaks Hotel,78344799,building,53.27279801865246,-9.084646890149779
B244,Glenrock House,161468922,building,53.292401046134515,-9.013856867786844
B245,Glenview House,211847145,building,53.260525904585506,-9.075046751236986
B246,Glór na Mara,955409029,building,53.270126511324136,-9.052610144933476
B247,Gort Ard,211671340,building,53.26121520000001,-9.085147700000002
B248,Granary Hall,211754696,building,53.271132100370714,-9.056717777864318
B249,Gray Office Park,953791265,building,53.280402300958066,-9.051822721923385
B250,Great Western House,1086302830,building,53.27400779275328,-9.047010712205633
B251,Guard house,1359649145,building,53.285339949999994,-9.0652942
B252,HSE Galway - Training Centre,160602512,building,53.27846639114907,-8.986372681669932
B253,HSE Medical Centre,160977313,building,53.28117031640524,-9.01631524626443
B254,Hall of the Red Earl,870981416,building,53.27091430376801,-9.05360727658958
B255,Hanley House,133670839,building,53.2684384139402,-9.064452636874512
B256,Harbour Hotel,150786583,building,53.27076490337907,-9.047583003837529
B257,Harbour House,865972889,building,53.271615555591055,-9.050394341814481
B258,Hardiman Building,976465371,building,53.27946301529108,-9.060956445380533
B259,Hardiman House,146881321,building,53.27490692561164,-9.04846426049808
B260,Heather Grove Housing Association,218396663,building,53.28233833531728,-9.011211503633316
B261,"Hepatology, Infectious Diseases, Pain Clinic",2202212,building,53.2753705842141,-9.06374226293757
B262,Hibernian House,162377563,building,53.27535110270715,-9.049782492170571
B263,Hogan Motros,161450768,building,53.287082735360904,-9.02989869908013
B264,Holy Family Church,160837604,building,53.28173167683494,-9.015745102402853
B265,Holy Family School,194677844,building,53.27939073129039,-9.028515840664538
B266,Home Store + More,303647925,building,53.28208182964066,-9.030700538251496
B267,Horticultural Training Unit,160602495,building,53.277545570695196,-8.986222227155343
B268,Hospital 1 & 2,160607718,building,53.27705501157725,-8.989738552690085
B269,Hospital Chapel,160607719,building,53.27763005494227,-8.993620066245764
B270,Human Biology Building,672209444,building,53.27866202631106,-9.059171468846849
B271,Huston School of Film and Digital Media,343501011,building,53.2768123886201,-9.058651592082189
B272,Hynes Building,13775053,building,53.271469456769296,-9.05185934087689
B273,IMC Galway,28051325,building,53.27955175326248,-9.050792281594344
B274,Industrial Info House,161453026,building,53.29110276699708,-9.00328925537027
B275,Innovation House,79968913,building,53.28981736908071,-9.010643589189728
B276,Innovation in Business Center,210429375,building,53.277669319386035,-9.012014980675405
B277,Inver,162508829,building,53.25836158250759,-9.101041922197384
B278,Irish Centre for Human Rights,211939496,building,53.27610670888103,-9.058222581329735
B279,Irish Wheelchair Association - Outreach Centre,161240236,building,53.2783456881144,-8.987385805194481
B280,Irwin Court,162378103,building,53.27548998641147,-9.049985830272226
B281,Island House,79430846,building,53.27393872735458,-9.057540990486908
B282,Ivor's,79370326,building,53.274174337385354,-9.078509764788512
B283,Ivy House,209718587,building,53.27438865,-9.0078249
B284,Ivy House,211930000,building,53.27053024812588,-9.06830785163666
B285,J.J Fleming Car Sales,160840382,building,53.29012946464819,-9.020113416772237
B286,Jameson Court,163501871,building,53.26017073493537,-9.075101799361622
B287,Joyce House,161384926,building,53.28344157299682,-9.036962687907375
B288,Jump Lanes,78516537,building,53.28946293341629,-9.017077289235337
B289,Jungle Beach Break Cafe,271455168,building,53.257418523241135,-9.085954538855951
B290,Kamrick Court,161467203,building,53.290046324159235,-9.010152437089891
B291,Kelehans Bar,162043966,building,53.296553347134086,-9.093260848700272
B292,Kellehers Texaco,825348459,building,53.263303718435,-9.072017060044175
B293,Kelly Office Supplies,134826767,building,53.267489643290546,-9.066289947324105
B294,Kenny Group House,161697982,building,53.26222587822938,-9.124440912130414
B295,Kennys Bindery,161384907,building,53.286951949999995,-9.035807
B296,Kilderry House,1017271647,building,53.269438090028856,-9.057961286159324
B297,Killanin Stand,26437065,building,53.29795341536284,-8.99829804392535
B298,Kiltartan House,164863679,building,53.27467355563553,-9.046449648691917
B299,King Ding,211850452,building,53.27349139999999,-9.081211949999998
B300,Kingdom Hall,266387125,building,53.29002855219614,-9.04940632499547
B301,Kingston Hall,163103500,building,53.26303484347576,-9.102703789678769
B302,Kingsvalley Hotel,160662155,building,53.274033129114784,-8.999645385102163
B303,Kirwan Court,870985989,building,53.27150496474016,-9.054872484169024
B304,Kirwin House,870985450,building,53.271122232143426,-9.052995872951811
B305,Knocknacarra Community Centre,176485996,building,53.263633670526225,-9.13108241567746
B306,LIP,78247325,building,53.289523564691514,-9.004428476220403
B307,Laboratories,2198893,building,53.27743465239254,-9.068100104371787
B308,Lakeview School,194677845,building,53.27978951097114,-9.028785662920784
B309,Lann Na Farraige,1090854203,building,53.2598690689754,-9.075017880887684
B310,Laundry,165022802,building,53.27819189083992,-9.067110985417623
B311,Laurence House,1029329844,building,53.2706745956225,-9.052625767476817
B312,Leisureland,1035229125,building,53.25892019717442,-9.08197687433068
B313,Leisureland,1035229124,building,53.25887614508894,-9.082515076997693
B314,Leisureland Theatre,772903540,building,53.25926158459936,-9.082271637602366
B315,Lenaboy Castle,165330923,building,53.268548139540485,-9.074583376191027
B316,Leonardo Hotel Galway,47090432,building,53.27067405808576,-9.055023650609211
B317,Leonardo Hotel Galway,1361204907,building,53.27085715892873,-9.054490192001861
B318,Liam Mellows GAA Club,159554232,building,53.27023530193441,-9.022471795402831
B319,Lidl,188659957,building,53.281779527887274,-9.030234140903465
B320,Lidl,795003998,building,53.28464641527152,-8.980790094744052
B321,Life Course Institute,331948873,building,53.288703518990715,-9.070532302434225
B322,Lime Kiln,116660614,building,53.27717680332918,-9.057558577177108
B323,Liosbaun House,101455938,building,53.286184358474635,-9.033304386672935
B324,Lismoyle House,153265862,building,53.27207629333029,-9.050929187592457
B325,Local Energy Centre,165025345,building,53.27722203373578,-9.067113875422226
B326,Loch Lurgain,164365781,building,53.26103300753199,-9.075965631759235
B327,Lock House,164649853,building,53.27022420942194,-9.057909487823233
B328,Longstay (elderly care),160794680,building,53.275722689591795,-8.993399312272308
B329,"Longstay, Respite, Rehabilitation",160602479,building,53.275716567211,-8.992032571436582
B330,Lydon Court,162378102,building,53.27584387346726,-9.049618279729897
B331,Lyrr Building,1203149004,building,53.28585040183195,-9.030890794250432
B332,MSA - General Monitors,78432241,building,53.28948039406516,-9.010751721731953
B333,Madera Island House,211754705,building,53.27175690614153,-9.058169736839703
B334,Magdalene Terrace,866040407,building,53.2752671,-9.04408145
B335,Magdalene Terrace,587893346,building,53.27523319122791,-9.044449840855577
B336,Magdalene Terrace,866040409,building,53.27526110000001,-9.044227999999999
B337,Magdalene Terrace,866040408,building,53.27523484977979,-9.044151405380227
B338,Magdalene Terrace,866040410,building,53.275258099999995,-9.04430125
B339,Magdalene Terrace,866040411,building,53.2752551,-9.044374549999999
B340,Magdalene Terrace,866040406,building,53.27524079983525,-9.044004850985338
B341,Mail Services Center,163760267,building,53.27886266858121,-9.058117002668919
B342,Main Hospital,2202373,building,53.27670887714614,-9.066280363206042
B343,"Main Reception, Admissions and Radiotherapy",165064623,building,53.27653332019303,-9.065639026374424
B344,Main Stand,159896547,building,53.278503166326914,-9.04024807881088
B345,Maritimo,1090854204,building,53.2599479262746,-9.075059758942883
B346,Martin House,131269467,building,53.29079713108013,-9.073616972728475
B347,Martin Ryan Building,57378403,building,53.27741880975304,-9.05939932091127
B348,Mary Mosque,727818802,building,53.29020604058675,-8.994596148603064
B349,Maternity & Gynocology Department,165027247,building,53.27569208717799,-9.06477436989417
B350,Maxol,134826780,building,53.26734252274702,-9.06646320795492
B351,Maxol,116700020,building,53.26745491776737,-9.066637560922747
B352,Maxol Auto24,25761891,building,53.275636068671254,-9.076712511246544
B353,Mayoralty House,153265880,building,53.270983804741,-9.052411474399351
B354,Maywood Court,211852101,building,53.26609717967102,-9.07141479490001
B355,Mazars Place,163424307,building,53.26359828065156,-9.07090799678004
B356,McDonald's,78474056,building,53.27994037177091,-9.049914985170439
B357,McDonald's,25761888,building,53.27565507021914,-9.076187594396266
B358,Meadow View,185315946,building,53.28050895636493,-9.003530325915719
B359,Mechanics Institute,176479503,building,53.27261663764365,-9.05193699047666
B360,Medical Outpatients / Infusion Service / CAPD,160602459,building,53.27671796111422,-8.993505282060228
