LA,RoadNumber,RoadClass
Cork City Council,L-50384,Local Tertiary
Cork City Council,L-5039,Local Secondary
Cork City Council,L-50391,Local Tertiary
Cork City Council,L-50392,Local Tertiary
Cork City Council,L-50393,Local Tertiary
Cork City Council,L-50394,Local Tertiary
Cork City Council,L-50395,Local Tertiary
Cork City Council,L-50396,Local Tertiary
Cork City Council,L-50397,Local Tertiary
Cork City Council,L-5040,Local Secondary
Cork City Council,L-5041,Local Secondary
Cork City Council,L-5042,Local Secondary
Cork City Council,L-5043,Local Secondary
Cork City Council,L-5046,Local Secondary
Cork City Council,L-50462,Local Tertiary
Cork City Council,L-50463,Local Tertiary
Cork City Council,L-50464,Local Tertiary
Cork City Council,L-5047,Local Secondary
Cork City Council,L-50471,Local Tertiary
Cork City Council,L-50472,Local Tertiary
Cork City Council,L-5048,Local Secondary
Cork City Council,L-50481,Local Tertiary
Cork City Council,L-50483,Local Tertiary
Cork City Council,L-50484,Local Tertiary
Cork City Council,L-5049,Local Secondary
Cork City Council,L-5050,Local Secondary
Cork City Council,L-5051,Local Secondary
Cork City Council,L-5052,Local Secondary
Cork City Council,L-50521,Local Tertiary
Cork City Council,L-50522,Local Tertiary
Cork City Council,L-50536,Local Tertiary
Cork City Council,L-5054,Local Secondary
Cork City Council,L-50541,Local Tertiary
Cork City Council,L-50544,Local Tertiary
Cork City Council,L-50546,Local Tertiary
Cork City Council,L-50547,Local Tertiary
Cork City Council,L-50548,Local Tertiary
Cork City Council,L-50549,Local Tertiary
Cork City Council,L-5055,Local Secondary
Cork City Council,L-50551,Local Tertiary
Cork City Council,L-50552,Local Tertiary
Cork City Council,L-50553,Local Tertiary
Cork City Council,L-50554,Local Tertiary
Cork City Council,L-50556,Local Tertiary
Cork City Council,L-50557,Local Tertiary
Cork City Council,L-50558,Local Tertiary
Cork City Council,L-50559,Local Tertiary
Cork City Council,L-5056,Local Secondary
Cork City Council,L-50560,Local Tertiary
Cork City Council,L-50561,Local Tertiary
Cork City Council,L-50562,Local Tertiary
Cork City Council,L-50563,Local Tertiary
Cork City Council,L-50564,Local Tertiary
Cork City Council,L-50565,Local Tertiary
Cork City Council,L-50567,Local Tertiary
Cork City Council,L-5057,Local Secondary
