LA,RoadNumber,RoadClass
Offaly County Council,L-2009,Local Primary
Offaly County Council,L-20091,Local Tertiary
Offaly County Council,L-20092,Local Tertiary
Offaly County Council,L-20093,Local Tertiary
Offaly County Council,L-20094,Local Tertiary
Offaly County Council,L-20095,Local Tertiary
Offaly County Council,L-20096,Local Tertiary
Offaly County Council,L-20097,Local Tertiary
Offaly County Council,L-2010,Local Primary
Offaly County Council,L-20101,Local Tertiary
Offaly County Council,L-20102,Local Tertiary
Offaly County Council,L-20103,Local Tertiary
Offaly County Council,L-20104,Local Tertiary
Offaly County Council,L-20105,Local Tertiary
Offaly County Council,L-20106,Local Tertiary
Offaly County Council,L-20107,Local Tertiary
Offaly County Council,L-20108,Local Tertiary
Offaly County Council,L-2011,Local Primary
Offaly County Council,L-20111,Local Tertiary
Offaly County Council,L-20112,Local Tertiary
Offaly County Council,L-20113,Local Tertiary
Offaly County Council,L-2012,Local Primary
Offaly County Council,L-20121,Local Tertiary
Offaly County Council,L-20122,Local Tertiary
Offaly County Council,L-20123,Local Tertiary
Offaly County Council,L-2013,Local Primary
Offaly County Council,L-20131,Local Tertiary
Offaly County Council,L-20132,Local Tertiary
Offaly County Council,L-20133,Local Tertiary
Offaly County Council,L-20135,Local Tertiary
Offaly County Council,L-2015,Local Primary
Offaly County Council,L-20151,Local Tertiary
Offaly County Council,L-20152,Local Tertiary
Offaly County Council,L-20153,Local Tertiary
Offaly County Council,L-20154,Local Tertiary
Offaly County Council,L-20155,Local Tertiary
Offaly County Council,L-20156,Local Tertiary
Offaly County Council,L-20157,Local Tertiary
Offaly County Council,L-20158,Local Tertiary
Offaly County Council,L-20159,Local Tertiary
Offaly County Council,L-2016,Local Primary
Offaly County Council,L-20161,Local Tertiary
Offaly County Council,L-20162,Local Tertiary
Offaly County Council,L-20163,Local Tertiary
Offaly County Council,L-20164,Local Tertiary
Offaly County Council,L-20165,Local Tertiary
Offaly County Council,L-20166,Local Tertiary
Offaly County Council,L-2017,Local Primary
Offaly County Council,L-20171,Local Tertiary
Offaly County Council,L-2018,Local Primary
Offaly County Council,L-20181,Local Tertiary
Offaly County Council,L-20182,Local Tertiary
Offaly County Council,L-2019,Local Primary
Offaly County Council,L-20192,Local Tertiary
Offaly County Council,L-20193,Local Tertiary
Offaly County Council,L-2020,Local Primary
Offaly County Council,L-20201,Local Tertiary
Offaly County Council,L-2021,Local Primary
Offaly County Council,L-2022,Local Primary
Offaly County Council,L-20221,Local Tertiary
Offaly County Council,L-20223,Local Tertiary
Offaly County Council,L-20224,Local Tertiary
Offaly County Council,L-2023,Local Primary
Offaly County Council,L-20231,Local Tertiary
Offaly County Council,L-20232,Local Tertiary
Offaly County Council,L-2024,Local Primary
Offaly County Council,L-20241,Local Tertiary
Offaly County Council,L-20242,Local Tertiary
Offaly County Council,L-2025,Local Primary
Offaly County Council,L-20251,Local Tertiary
Offaly County Council,L-20252,Local Tertiary
Offaly County Council,L-20253,Local Tertiary
Offaly County Council,L-20254,Local Tertiary
Offaly County Council,L-20255,Local Tertiary
Offaly County Council,L-20256,Local Tertiary
Offaly County Council,L-20257,Local Tertiary
Offaly County Council,L-20258,Local Tertiary
Offaly County Council,L-20259,Local Tertiary
Offaly County Council,L-2026,Local Primary
Offaly County Council,L-20262,Local Tertiary
Offaly County Council,L-20263,Local Tertiary
Offaly County Council,L-20264,Local Tertiary
Offaly County Council,L-20265,Local Tertiary
Offaly County Council,L-20266,Local Tertiary
Offaly County Council,L-20267,Local Tertiary
Offaly County Council,L-20268,Local Tertiary
Offaly County Council,L-20269,Local Tertiary
Offaly County Council,L-2027,Local Primary
Offaly County Council,L-20270,Local Tertiary
Offaly County Council,L-20271,Local Tertiary
Offaly County Council,L-20272,Local Tertiary
Offaly County Council,L-20273,Local Tertiary
Offaly County Council,L-20274,Local Tertiary
Offaly County Council,L-2028,Local Primary
Offaly County Council,L-2029,Local Primary
Offaly County Council,L-20291,Local Tertiary
Offaly County Council,L-20292,Local Tertiary
Offaly County Council,L-20293,Local Tertiary
Offaly County Council,L-20294,Local Tertiary
Offaly County Council,L-2030,Local Primary
Offaly County Council,L-2031,Local Primary
Offaly County Council,L-3001,Local Primary
Offaly County Council,L-30011,Local Tertiary
Offaly County Council,L-30012,Local Tertiary
Offaly County Council,L-30013,Local Tertiary
Offaly County Council,L-30014,Local Tertiary
Offaly County Council,L-30026,Local Tertiary
Offaly County Council,L-30027,Local Tertiary
Offaly County Council,L-3003,Local Primary
Offaly County Council,L-30031,Local Tertiary
Offaly County Council,L-30032,Local Tertiary
Offaly County Council,L-30033,Local Tertiary
Offaly County Council,L-3004,Local Primary
Offaly County Council,L-30041,Local Tertiary
Offaly County Council,L-30042,Local Tertiary
Offaly County Council,L-30043,Local Tertiary
Offaly County Council,L-30044,Local Tertiary
Offaly County Council,L-30045,Local Tertiary
Offaly County Council,L-30046,Local Tertiary
Offaly County Council,L-30047,Local Tertiary
Offaly County Council,L-30048,Local Tertiary
Offaly County Council,L-30049,Local Tertiary
Offaly County Council,L-3005,Local Primary
Offaly County Council,L-30051,Local Tertiary
Offaly County Council,L-30052,Local Tertiary
Offaly County Council,L-30053,Local Tertiary
Offaly County Council,L-30054,Local Tertiary
Offaly County Council,L-30056,Local Tertiary
Offaly County Council,L-30057,Local Tertiary
Offaly County Council,L-3006,Local Primary
Offaly County Council,L-30061,Local Tertiary
Offaly County Council,L-3007,Local Primary
Offaly County Council,L-30071,Local Tertiary
Offaly County Council,L-30072,Local Tertiary
Offaly County Council,L-30073,Local Tertiary
Offaly County Council,L-30074,Local Tertiary
Offaly County Council,L-30075,Local Tertiary
Offaly County Council,L-30076,Local Tertiary
Offaly County Council,L-30077,Local Tertiary
Offaly County Council,L-30078,Local Tertiary
Offaly County Council,L-3008,Local Primary
Offaly County Council,L-30081,Local Tertiary
Offaly County Council,L-30082,Local Tertiary
Offaly County Council,L-3009,Local Primary
Offaly County Council,L-30091,Local Tertiary
Offaly County Council,L-30092,Local Tertiary
Offaly County Council,L-30093,Local Tertiary
Offaly County Council,L-30094,Local Tertiary
Offaly County Council,L-30095,Local Tertiary
Offaly County Council,L-30096,Local Tertiary
Offaly County Council,L-30097,Local Tertiary
Offaly County Council,L-30098,Local Tertiary
Offaly County Council,L-30099,Local Tertiary
Offaly County Council,L-3010,Local Primary
Offaly County Council,L-30101,Local Tertiary
Offaly County Council,L-3011,Local Primary
Offaly County Council,L-30115,Local Tertiary
Offaly County Council,L-3012,Local Primary
Offaly County Council,L-30121,Local Tertiary
Offaly County Council,L-30122,Local Tertiary
Offaly County Council,L-30123,Local Tertiary
Offaly County Council,L-30124,Local Tertiary
Offaly County Council,L-30125,Local Tertiary
Offaly County Council,L-30126,Local Tertiary
Offaly County Council,L-3013,Local Primary
Offaly County Council,L-30130,Local Tertiary
Offaly County Council,L-30131,Local Tertiary
Offaly County Council,L-30132,Local Tertiary
Offaly County Council,L-30133,Local Tertiary
Offaly County Council,L-30134,Local Tertiary
Offaly County Council,L-30135,Local Tertiary
Offaly County Council,L-30136,Local Tertiary
Offaly County Council,L-30137,Local Tertiary
Offaly County Council,L-30138,Local Tertiary
Offaly County Council,L-30139,Local Tertiary
Offaly County Council,L-30140,Local Tertiary
Offaly County Council,L-30261,Local Tertiary
Offaly County Council,L-30262,Local Tertiary
Offaly County Council,L-30265,Local Tertiary
Offaly County Council,L-30266,Local Tertiary
Offaly County Council,L-30267,Local Tertiary
Offaly County Council,L-30268,Local Tertiary
Offaly County Council,L-30269,Local Tertiary
Offaly County Council,L-30270,Local Tertiary
Offaly County Council,L-30271,Local Tertiary
Offaly County Council,L-30272,Local Tertiary
Offaly County Council,L-30273,Local Tertiary
Offaly County Council,L-30274,Local Tertiary
Offaly County Council,L-30275,Local Tertiary
Offaly County Council,L-30276,Local Tertiary
Offaly County Council,L-30277,Local Tertiary
Offaly County Council,L-30278,Local Tertiary
Offaly County Council,L-30279,Local Tertiary
Offaly County Council,L-3028,Local Primary
Offaly County Council,L-30280,Local Tertiary
Offaly County Council,L-30281,Local Tertiary
Offaly County Council,L-30282,Local Tertiary
Offaly County Council,L-4001,Local Primary
Offaly County Council,L-40011,Local Tertiary
Offaly County Council,L-40012,Local Tertiary
Offaly County Council,L-4002,Local Primary
Offaly County Council,L-4003,Local Primary
Offaly County Council,L-40031,Local Tertiary
Offaly County Council,L-4004,Local Primary
Offaly County Council,L-40041,Local Tertiary
Offaly County Council,L-40042,Local Tertiary
Offaly County Council,L-40043,Local Tertiary
Offaly County Council,L-4005,Local Primary
Offaly County Council,L-4006,Local Primary
Offaly County Council,L-40061,Local Tertiary
Offaly County Council,L-40062,Local Tertiary
Offaly County Council,L-40063,Local Tertiary
Offaly County Council,L-4007,Local Primary
Offaly County Council,L-40071,Local Tertiary
Offaly County Council,L-40072,Local Tertiary
Offaly County Council,L-40073,Local Tertiary
Offaly County Council,L-40074,Local Tertiary
Offaly County Council,L-40075,Local Tertiary
Offaly County Council,L-40076,Local Tertiary
Offaly County Council,L-40077,Local Tertiary
Offaly County Council,L-40078,Local Tertiary
Offaly County Council,L-40079,Local Tertiary
Offaly County Council,L-4008,Local Primary
Offaly County Council,L-4009,Local Primary
Offaly County Council,L-40091,Local Tertiary
Offaly County Council,L-40092,Local Tertiary
Offaly County Council,L-4010,Local Primary
Offaly County Council,L-4011,Local Primary
Offaly County Council,L-40111,Local Tertiary
Offaly County Council,L-40112,Local Tertiary
Offaly County Council,L-40113,Local Tertiary
Offaly County Council,L-40114,Local Tertiary
Offaly County Council,L-40115,Local Tertiary
Offaly County Council,L-4012,Local Primary
Offaly County Council,L-4013,Local Primary
Offaly County Council,L-40131,Local Tertiary
Offaly County Council,L-40132,Local Tertiary
Offaly County Council,L-40133,Local Tertiary
Offaly County Council,L-40134,Local Tertiary
Offaly County Council,L-4014,Local Primary
Offaly County Council,L-4015,Local Primary
Offaly County Council,L-40151,Local Tertiary
Offaly County Council,L-4016,Local Primary
Offaly County Council,L-40161,Local Tertiary
Offaly County Council,L-40162,Local Tertiary
Offaly County Council,L-40171,Local Tertiary
Offaly County Council,L-40172,Local Tertiary
Offaly County Council,L-40173,Local Tertiary
Offaly County Council,L-4018,Local Primary
Offaly County Council,L-40181,Local Tertiary
Offaly County Council,L-40182,Local Tertiary
Offaly County Council,L-40183,Local Tertiary
Offaly County Council,L-4019,Local Primary
Offaly County Council,L-40191,Local Tertiary
Offaly County Council,L-40192,Local Tertiary
Offaly County Council,L-40193,Local Tertiary
Offaly County Council,L-4020,Local Primary
Offaly County Council,L-40201,Local Tertiary
Offaly County Council,L-40202,Local Tertiary
Offaly County Council,L-4021,Local Primary
Offaly County Council,L-4022,Local Primary
Offaly County Council,L-40221,Local Tertiary
Offaly County Council,L-40231,Local Tertiary
Offaly County Council,L-4024,Local Primary
Offaly County Council,L-40241,Local Tertiary
Offaly County Council,L-40242,Local Tertiary
Offaly County Council,L-40243,Local Tertiary
Offaly County Council,L-4025,Local Primary
Offaly County Council,L-40251,Local Tertiary
Offaly County Council,L-4026,Local Primary
Offaly County Council,L-40261,Local Tertiary
Offaly County Council,L-4027,Local Primary
Offaly County Council,L-4028,Local Primary
Offaly County Council,L-40281,Local Tertiary
Offaly County Council,L-4029,Local Primary
Offaly County Council,L-5001,Local Secondary
Offaly County Council,L-50011,Local Tertiary
Offaly County Council,L-50012,Local Tertiary
Offaly County Council,L-50013,Local Tertiary
Offaly County Council,L-5002,Local Secondary
Offaly County Council,L-50021,Local Tertiary
Offaly County Council,L-5003,Local Secondary
Offaly County Council,L-5004,Local Secondary
Offaly County Council,L-50041,Local Tertiary
Offaly County Council,L-5005,Local Secondary
Offaly County Council,L-5006,Local Secondary
Offaly County Council,L-50061,Local Tertiary
Offaly County Council,L-50062,Local Tertiary
Offaly County Council,L-5007,Local Secondary
Offaly County Council,L-5008,Local Secondary
Offaly County Council,L-50081,Local Tertiary
Offaly County Council,L-5009,Local Secondary
Offaly County Council,L-5010,Local Secondary
Offaly County Council,L-5011,Local Secondary
Offaly County Council,L-50111,Local Tertiary
Offaly County Council,L-50112,Local Tertiary
Offaly County Council,L-5012,Local Secondary
Offaly County Council,L-5013,Local Secondary
Offaly County Council,L-5014,Local Secondary
Offaly County Council,L-50141,Local Tertiary
Offaly County Council,L-5015,Local Secondary
Offaly County Council,L-50151,Local Tertiary
Offaly County Council,L-50152,Local Tertiary
Offaly County Council,L-50153,Local Tertiary
Offaly County Council,L-50154,Local Tertiary
Offaly County Council,L-50155,Local Tertiary
Offaly County Council,L-50156,Local Tertiary
Offaly County Council,L-50157,Local Tertiary
Offaly County Council,L-50158,Local Tertiary
Offaly County Council,L-50159,Local Tertiary
Offaly County Council,L-5016,Local Secondary
Offaly County Council,L-50161,Local Tertiary
Offaly County Council,L-50162,Local Tertiary
Offaly County Council,L-5017,Local Secondary
Offaly County Council,L-50171,Local Tertiary
Offaly County Council,L-50172,Local Tertiary
Offaly County Council,L-5018,Local Secondary
Offaly County Council,L-50181,Local Tertiary
Offaly County Council,L-50182,Local Tertiary
Offaly County Council,L-50183,Local Tertiary
Offaly County Council,L-5019,Local Secondary
Offaly County Council,L-50191,Local Tertiary
Offaly County Council,L-5020,Local Secondary
Offaly County Council,L-50201,Local Tertiary
Offaly County Council,L-50203,Local Tertiary
Offaly County Council,L-5021,Local Secondary
Offaly County Council,L-50211,Local Tertiary
Offaly County Council,L-50212,Local Tertiary
Offaly County Council,L-50213,Local Tertiary
Offaly County Council,L-50214,Local Tertiary
Offaly County Council,L-50216,Local Tertiary
Offaly County Council,L-50217,Local Tertiary
Offaly County Council,L-5022,Local Secondary
Offaly County Council,L-5023,Local Secondary
Offaly County Council,L-50231,Local Tertiary
Offaly County Council,L-50232,Local Tertiary
Offaly County Council,L-5024,Local Secondary
Offaly County Council,L-5025,Local Secondary
Offaly County Council,L-50251,Local Tertiary
Offaly County Council,L-50252,Local Tertiary
Offaly County Council,L-5026,Local Secondary
Offaly County Council,L-50261,Local Tertiary
Offaly County Council,L-5027,Local Secondary
Offaly County Council,L-5028,Local Secondary
Offaly County Council,L-50281,Local Tertiary
Offaly County Council,L-5029,Local Secondary
Offaly County Council,L-5030,Local Secondary
Offaly County Council,L-5031,Local Secondary
Offaly County Council,L-5032,Local Secondary
Offaly County Council,L-50321,Local Tertiary
Offaly County Council,L-5033,Local Secondary
Offaly County Council,L-5034,Local Secondary
Offaly County Council,L-50341,Local Tertiary
Offaly County Council,L-5035,Local Secondary
Offaly County Council,L-5036,Local Secondary
Offaly County Council,L-5037,Local Secondary
Offaly County Council,L-5038,Local Secondary
Offaly County Council,L-5039,Local Secondary
Offaly County Council,L-5040,Local Secondary
Offaly County Council,L-5041,Local Secondary
Offaly County Council,L-50411,Local Tertiary
Offaly County Council,L-5042,Local Secondary
Offaly County Council,L-5043,Local Secondary
Offaly County Council,L-50431,Local Tertiary
Offaly County Council,L-50432,Local Tertiary
Offaly County Council,L-50433,Local Tertiary
Offaly County Council,L-50434,Local Tertiary
Offaly County Council,L-50435,Local Tertiary
Offaly County Council,L-50436,Local Tertiary
Offaly County Council,L-5044,Local Secondary
Offaly County Council,L-50441,Local Tertiary
Offaly County Council,L-6001,Local Secondary
Offaly County Council,L-60011,Local Tertiary
Offaly County Council,L-6002,Local Secondary
Offaly County Council,L-60021,Local Tertiary
Offaly County Council,L-6003,Local Secondary
Offaly County Council,L-60031,Local Tertiary
Offaly County Council,L-60032,Local Tertiary
Offaly County Council,L-60033,Local Tertiary
Offaly County Council,L-60034,Local Tertiary
Offaly County Council,L-60035,Local Tertiary
Offaly County Council,L-60036,Local Tertiary
Offaly County Council,L-60037,Local Tertiary
Offaly County Council,L-60039,Local Tertiary
Offaly County Council,L-60044,Local Tertiary
Offaly County Council,L-60045,Local Tertiary
Offaly County Council,L-60046,Local Tertiary
Offaly County Council,L-6005,Local Secondary
Offaly County Council,L-60051,Local Tertiary
Offaly County Council,L-6006,Local Secondary
Offaly County Council,L-6007,Local Secondary
Offaly County Council,L-6008,Local Secondary
Offaly County Council,L-60081,Local Tertiary
Offaly County Council,L-6009,Local Secondary
Offaly County Council,L-60091,Local Tertiary
Offaly County Council,L-60092,Local Tertiary
Offaly County Council,L-60093,Local Tertiary
Offaly County Council,L-60094,Local Tertiary
Offaly County Council,L-60095,Local Tertiary
Offaly County Council,L-6010,Local Secondary
Offaly County Council,L-6011,Local Secondary
Offaly County Council,L-60111,Local Tertiary
Offaly County Council,L-60112,Local Tertiary
Offaly County Council,L-60113,Local Tertiary
Offaly County Council,L-6012,Local Secondary
Offaly County Council,L-6013,Local Secondary
Offaly County Council,L-60131,Local Tertiary
Offaly County Council,L-60132,Local Tertiary
Offaly County Council,L-6014,Local Secondary
Offaly County Council,L-60141,Local Tertiary
Offaly County Council,L-60143,Local Tertiary
Offaly County Council,L-60144,Local Tertiary
Offaly County Council,L-60145,Local Tertiary
Offaly County Council,L-60146,Local Tertiary
Offaly County Council,L-60147,Local Tertiary
Offaly County Council,L-60148,Local Tertiary
Offaly County Council,L-60149,Local Tertiary
Offaly County Council,L-6015,Local Secondary
Offaly County Council,L-60151,Local Tertiary
Offaly County Council,L-6016,Local Secondary
Offaly County Council,L-60161,Local Tertiary
Offaly County Council,L-6017,Local Secondary
Offaly County Council,L-60171,Local Tertiary
Offaly County Council,L-60172,Local Tertiary
Offaly County Council,L-60173,Local Tertiary
Offaly County Council,L-60174,Local Tertiary
Offaly County Council,L-60175,Local Tertiary
Offaly County Council,L-60176,Local Tertiary
Offaly County Council,L-6018,Local Secondary
Offaly County Council,L-6019,Local Secondary
Offaly County Council,L-60191,Local Tertiary
Offaly County Council,L-6020,Local Secondary
Offaly County Council,L-60201,Local Tertiary
Offaly County Council,L-60202,Local Tertiary
Offaly County Council,L-6021,Local Secondary
Offaly County Council,L-60211,Local Tertiary
Offaly County Council,L-60212,Local Tertiary
Offaly County Council,L-60213,Local Tertiary
Offaly County Council,L-6022,Local Secondary
Offaly County Council,L-6023,Local Secondary
Offaly County Council,L-6024,Local Secondary
Offaly County Council,L-60241,Local Tertiary
Offaly County Council,L-60242,Local Tertiary
Offaly County Council,L-60243,Local Tertiary
Offaly County Council,L-6025,Local Secondary
Offaly County Council,L-60251,Local Tertiary
Offaly County Council,L-60252,Local Tertiary
Offaly County Council,L-6026,Local Secondary
Offaly County Council,L-60261,Local Tertiary
Offaly County Council,L-6027,Local Secondary
Offaly County Council,L-60271,Local Tertiary
Offaly County Council,L-60272,Local Tertiary
Offaly County Council,L-60273,Local Tertiary
Offaly County Council,L-60274,Local Tertiary
Offaly County Council,L-60275,Local Tertiary
Offaly County Council,L-60276,Local Tertiary
Offaly County Council,L-6028,Local Secondary
Offaly County Council,L-6029,Local Secondary
Offaly County Council,L-6030,Local Secondary
Offaly County Council,L-60301,Local Tertiary
Offaly County Council,L-60302,Local Tertiary
Offaly County Council,L-6031,Local Secondary
Offaly County Council,L-6032,Local Secondary
Offaly County Council,L-6033,Local Secondary
Offaly County Council,L-60331,Local Tertiary
Offaly County Council,L-6034,Local Secondary
Offaly County Council,L-6035,Local Secondary
Offaly County Council,L-6036,Local Secondary
Offaly County Council,L-6037,Local Secondary
Offaly County Council,L-6038,Local Secondary
Offaly County Council,L-6039,Local Secondary
Offaly County Council,L-6040,Local Secondary
Offaly County Council,L-6041,Local Secondary
Offaly County Council,L-60411,Local Tertiary
Offaly County Council,L-60412,Local Tertiary
Offaly County Council,L-60413,Local Tertiary
Offaly County Council,L-60414,Local Tertiary
Offaly County Council,L-6042,Local Secondary
Offaly County Council,L-6043,Local Secondary
Offaly County Council,L-6044,Local Secondary
Offaly County Council,L-6045,Local Secondary
Offaly County Council,L-6046,Local Secondary
Offaly County Council,L-6047,Local Secondary
Offaly County Council,L-60471,Local Tertiary
Offaly County Council,L-6048,Local Secondary
Offaly County Council,L-60481,Local Tertiary
Offaly County Council,L-60482,Local Tertiary
Offaly County Council,L-6049,Local Secondary
Offaly County Council,L-60491,Local Tertiary
Offaly County Council,L-6050,Local Secondary
Offaly County Council,L-60501,Local Tertiary
Offaly County Council,L-6051,Local Secondary
Offaly County Council,L-60511,Local Tertiary
Offaly County Council,L-60512,Local Tertiary
Offaly County Council,L-6052,Local Secondary
Offaly County Council,L-60521,Local Tertiary
Offaly County Council,L-60522,Local Tertiary
Offaly County Council,L-6053,Local Secondary
Offaly County Council,L-60531,Local Tertiary
Offaly County Council,L-60532,Local Tertiary
Offaly County Council,L-60533,Local Tertiary
Offaly County Council,L-60534,Local Tertiary
Offaly County Council,L-60535,Local Tertiary
Offaly County Council,L-60536,Local Tertiary
Offaly County Council,L-60537,Local Tertiary
Offaly County Council,L-6054,Local Secondary
Offaly County Council,L-60541,Local Tertiary
Offaly County Council,L-60542,Local Tertiary
Offaly County Council,L-6055,Local Secondary
Offaly County Council,L-6056,Local Secondary
Offaly County Council,L-60561,Local Tertiary
Offaly County Council,L-6057,Local Secondary
Offaly County Council,L-60571,Local Tertiary
Offaly County Council,L-6058,Local Secondary
Offaly County Council,L-6059,Local Secondary
Offaly County Council,L-60591,Local Tertiary
Offaly County Council,L-60592,Local Tertiary
Offaly County Council,L-6060,Local Secondary
Offaly County Council,L-60601,Local Tertiary
Offaly County Council,L-60602,Local Tertiary
Offaly County Council,L-60603,Local Tertiary
Offaly County Council,L-6061,Local Secondary
Offaly County Council,L-60611,Local Tertiary
Offaly County Council,L-6062,Local Secondary
Offaly County Council,L-60621,Local Tertiary
Offaly County Council,L-60622,Local Tertiary
Offaly County Council,L-60623,Local Tertiary
Offaly County Council,L-60624,Local Tertiary
Offaly County Council,L-60625,Local Tertiary
Offaly County Council,L-60626,Local Tertiary
Offaly County Council,L-60627,Local Tertiary
Offaly County Council,L-60628,Local Tertiary
Offaly County Council,L-60629,Local Tertiary
Offaly County Council,L-6063,Local Secondary
Offaly County Council,L-60630,Local Tertiary
Offaly County Council,L-60631,Local Tertiary
Offaly County Council,L-60632,Local Tertiary
Offaly County Council,L-60633,Local Tertiary
Offaly County Council,L-60634,Local Tertiary
Offaly County Council,L-6064,Local Secondary
Offaly County Council,L-7001,Local Secondary
Offaly County Council,L-70011,Local Tertiary
Offaly County Council,L-70012,Local Tertiary
Offaly County Council,L-70013,Local Tertiary
Offaly County Council,L-70014,Local Tertiary
Offaly County Council,L-70015,Local Tertiary
Offaly County Council,L-70016,Local Tertiary
Offaly County Council,L-70017,Local Tertiary
Offaly County Council,L-70018,Local Tertiary
Offaly County Council,L-70019,Local Tertiary
Offaly County Council,L-7002,Local Secondary
Offaly County Council,L-70021,Local Tertiary
Offaly County Council,L-70022,Local Tertiary
Offaly County Council,L-70023,Local Tertiary
Offaly County Council,L-70024,Local Tertiary
Offaly County Council,L-70025,Local Tertiary
Offaly County Council,L-70026,Local Tertiary
Offaly County Council,L-7003,Local Secondary
Offaly County Council,L-70031,Local Tertiary
Offaly County Council,L-70032,Local Tertiary
Offaly County Council,L-70033,Local Tertiary
Offaly County Council,L-70034,Local Tertiary
Offaly County Council,L-70037,Local Tertiary
Offaly County Council,L-7004,Local Secondary
Offaly County Council,L-70041,Local Tertiary
Offaly County Council,L-70042,Local Tertiary
Offaly County Council,L-7005,Local Secondary
Offaly County Council,L-70051,Local Tertiary
Offaly County Council,L-70052,Local Tertiary
Offaly County Council,L-7006,Local Secondary
Offaly County Council,L-70061,Local Tertiary
Offaly County Council,L-70062,Local Tertiary
Offaly County Council,L-70063,Local Tertiary
Offaly County Council,L-70064,Local Tertiary
Offaly County Council,L-70065,Local Tertiary
Offaly County Council,L-70066,Local Tertiary
Offaly County Council,L-70067,Local Tertiary
Offaly County Council,L-70068,Local Tertiary
Offaly County Council,L-70069,Local Tertiary
Offaly County Council,L-7007,Local Secondary
Offaly County Council,L-70070,Local Tertiary
Offaly County Council,L-70071,Local Tertiary
Offaly County Council,L-70072,Local Tertiary
Offaly County Council,L-70073,Local Tertiary
Offaly County Council,L-70074,Local Tertiary
Offaly County Council,L-70075,Local Tertiary
Offaly County Council,L-70076,Local Tertiary
Offaly County Council,L-70077,Local Tertiary
Offaly County Council,L-70078,Local Tertiary
Offaly County Council,L-70079,Local Tertiary
Offaly County Council,L-7008,Local Secondary
Offaly County Council,L-70081,Local Tertiary
Offaly County Council,L-70082,Local Tertiary
Offaly County Council,L-70083,Local Tertiary
Offaly County Council,L-70084,Local Tertiary
Offaly County Council,L-7009,Local Secondary
Offaly County Council,L-70091,Local Tertiary
Offaly County Council,L-70092,Local Tertiary
Offaly County Council,L-70093,Local Tertiary
Offaly County Council,L-70094,Local Tertiary
Offaly County Council,L-70095,Local Tertiary
Offaly County Council,L-70096,Local Tertiary
Offaly County Council,L-70097,Local Tertiary
Offaly County Council,L-70098,Local Tertiary
Offaly County Council,L-70099,Local Tertiary
Offaly County Council,L-7010,Local Secondary
Offaly County Council,L-70101,Local Tertiary
Offaly County Council,L-70102,Local Tertiary
Offaly County Council,L-7011,Local Secondary
Offaly County Council,L-70111,Local Tertiary
Offaly County Council,L-7012,Local Secondary
Offaly County Council,L-70121,Local Tertiary
Offaly County Council,L-70122,Local Tertiary
Offaly County Council,L-7013,Local Secondary
Offaly County Council,L-70131,Local Tertiary
Offaly County Council,L-70132,Local Tertiary
Offaly County Council,L-70133,Local Tertiary
Offaly County Council,L-70134,Local Tertiary
Offaly County Council,L-70135,Local Tertiary
Offaly County Council,L-7014,Local Secondary
Offaly County Council,L-70141,Local Tertiary
Offaly County Council,L-70142,Local Tertiary
Offaly County Council,L-70143,Local Tertiary
Offaly County Council,L-70144,Local Tertiary
Offaly County Council,L-70146,Local Tertiary
Offaly County Council,L-70148,Local Tertiary
Offaly County Council,L-70149,Local Tertiary
Offaly County Council,L-7015,Local Secondary
Offaly County Council,L-70151,Local Tertiary
Offaly County Council,L-70152,Local Tertiary
Offaly County Council,L-70153,Local Tertiary
Offaly County Council,L-7016,Local Secondary
Offaly County Council,L-70161,Local Tertiary
Offaly County Council,L-70162,Local Tertiary
Offaly County Council,L-70163,Local Tertiary
Offaly County Council,L-70164,Local Tertiary
Offaly County Council,L-70165,Local Tertiary
Offaly County Council,L-70166,Local Tertiary
Offaly County Council,L-70167,Local Tertiary
Offaly County Council,L-70168,Local Tertiary
Offaly County Council,L-7017,Local Secondary
Offaly County Council,L-70171,Local Tertiary
Offaly County Council,L-70172,Local Tertiary
Offaly County Council,L-70173,Local Tertiary
Offaly County Council,L-70174,Local Tertiary
Offaly County Council,L-7018,Local Secondary
Offaly County Council,L-7019,Local Secondary
Offaly County Council,L-70191,Local Tertiary
Offaly County Council,L-70192,Local Tertiary
Offaly County Council,L-7020,Local Secondary
Offaly County Council,L-70201,Local Tertiary
Offaly County Council,L-70202,Local Tertiary
Offaly County Council,L-70203,Local Tertiary
Offaly County Council,L-70204,Local Tertiary
Offaly County Council,L-70205,Local Tertiary
Offaly County Council,L-70206,Local Tertiary
Offaly County Council,L-70207,Local Tertiary
Offaly County Council,L-70208,Local Tertiary
Offaly County Council,L-70209,Local Tertiary
Offaly County Council,L-7021,Local Secondary
Offaly County Council,L-70211,Local Tertiary
Offaly County Council,L-70212,Local Tertiary
Offaly County Council,L-7022,Local Secondary
Offaly County Council,L-7023,Local Secondary
Offaly County Council,L-7024,Local Secondary
Offaly County Council,L-70241,Local Tertiary
Offaly County Council,L-70242,Local Tertiary
Offaly County Council,L-70243,Local Tertiary
Offaly County Council,L-8001,Local Secondary
Offaly County Council,L-80011,Local Tertiary
Offaly County Council,L-80012,Local Tertiary
Offaly County Council,L-80013,Local Tertiary
Offaly County Council,L-80014,Local Tertiary
Offaly County Council,L-80015,Local Tertiary
Offaly County Council,L-8002,Local Secondary
Offaly County Council,L-80021,Local Tertiary
Offaly County Council,L-80027,Local Tertiary
Offaly County Council,L-8003,Local Secondary
