LA,RoadNumber,RoadClass
Laois County Council,R-429,Regional
Laois County Council,R-430,Regional
Laois County Council,R-431,Regional
Laois County Council,R-432,Regional
Laois County Council,R-433,Regional
Laois County Council,R-434,Regional
Laois County Council,R-435,Regional
Laois County Council,R-440,Regional
Laois County Council,R-445,Regional
Laois County Council,R-639,Regional
Laois County Council,R-924,Regional
Laois County Council,R-941,Regional
Meath County Council,R-108,Regional
Meath County Council,R-125,Regional
Meath County Council,R-130,Regional
Meath County Council,R-132,Regional
Meath County Council,R-135,Regional
Meath County Council,R-147,Regional
Meath County Council,R-148,Regional
Meath County Council,R-149,Regional
Meath County Council,R-150,Regional
Meath County Council,R-151,Regional
Meath County Council,R-152,Regional
Meath County Council,R-153,Regional
Meath County Council,R-154,Regional
Meath County Council,R-155,Regional
Meath County Council,R-156,Regional
Meath County Council,R-157,Regional
Meath County Council,R-158,Regional
Meath County Council,R-159,Regional
Meath County Council,R-160,Regional
Meath County Council,R-161,Regional
Meath County Council,R-162,Regional
Meath County Council,R-163,Regional
Meath County Council,R-164,Regional
Meath County Council,R-165,Regional
Meath County Council,R-191,Regional
Meath County Council,R-194,Regional
Meath County Council,R-195,Regional
Meath County Council,R-401,Regional
Meath County Council,R-402,Regional
Meath County Council,R-895,Regional
Meath County Council,R-933,Regional
Meath County Council,R-941,Regional
Monaghan County Council,R-162,Regional
Monaghan County Council,R-178,Regional
Monaghan County Council,R-179,Regional
Monaghan County Council,R-180,Regional
Monaghan County Council,R-181,Regional
Monaghan County Council,R-182,Regional
Monaghan County Council,R-183,Regional
Monaghan County Council,R-184,Regional
Monaghan County Council,R-185,Regional
Monaghan County Council,R-186,Regional
Monaghan County Council,R-187,Regional
Monaghan County Council,R-188,Regional
Monaghan County Council,R-189,Regional
Monaghan County Council,R-190,Regional
Monaghan County Council,R-193,Regional
Monaghan County Council,R-212,Regional
Monaghan County Council,R-213,Regional
Monaghan County Council,R-214,Regional
Monaghan County Council,R-867,Regional
Monaghan County Council,R-868,Regional
Monaghan County Council,R-927,Regional
Monaghan County Council,R-937,Regional
Monaghan County Council,R-938,Regional
Mayo County Council,R-293,Regional
Mayo County Council,R-294,Regional
Mayo County Council,R-297,Regional
Mayo County Council,R-300,Regional
Mayo County Council,R-307,Regional
Mayo County Council,R-308,Regional
Mayo County Council,R-309,Regional
Mayo County Council,R-310,Regional
Mayo County Council,R-311,Regional
Mayo County Council,R-312,Regional
Mayo County Council,R-313,Regional
Mayo County Council,R-314,Regional
Mayo County Council,R-315,Regional
Mayo County Council,R-316,Regional
Mayo County Council,R-317,Regional
Mayo County Council,R-318,Regional
Mayo County Council,R-319,Regional
Mayo County Council,R-320,Regional
Mayo County Council,R-321,Regional
Mayo County Council,R-322,Regional
Mayo County Council,R-323,Regional
Mayo County Council,R-324,Regional
Mayo County Council,R-325,Regional
Mayo County Council,R-327,Regional
Mayo County Council,R-328,Regional
Mayo County Council,R-329,Regional
Mayo County Council,R-330,Regional
Mayo County Council,R-331,Regional
Mayo County Council,R-332,Regional
Mayo County Council,R-334,Regional
Mayo County Council,R-335,Regional
Mayo County Council,R-345,Regional
Mayo County Council,R-346,Regional
Mayo County Council,R-373,Regional
Mayo County Council,R-375,Regional
Mayo County Council,R-376,Regional
Mayo County Council,R-378,Regional
Mayo County Council,R-928,Regional
Mayo County Council,R-929,Regional
Offaly County Council,R-356,Regional
Offaly County Council,R-357,Regional
Offaly County Council,R-391,Regional
Offaly County Council,R-400,Regional
Offaly County Council,R-401,Regional
Offaly County Council,R-402,Regional
Offaly County Council,R-419,Regional
Offaly County Council,R-420,Regional
Offaly County Council,R-421,Regional
Offaly County Council,R-423,Regional
Offaly County Council,R-436,Regional
Offaly County Council,R-437,Regional
Offaly County Council,R-438,Regional
Offaly County Council,R-439,Regional
Offaly County Council,R-440,Regional
Offaly County Council,R-441,Regional
Offaly County Council,R-442,Regional
Offaly County Council,R-443,Regional
Offaly County Council,R-444,Regional
Offaly County Council,R-445,Regional
Offaly County Council,R-446,Regional
Offaly County Council,R-490,Regional
Offaly County Council,R-491,Regional
Offaly County Council,R-492,Regional
Roscommon County Council,R-280,Regional
Roscommon County Council,R-284,Regional
Roscommon County Council,R-285,Regional
Roscommon County Council,R-293,Regional
Roscommon County Council,R-294,Regional
Roscommon County Council,R-295,Regional
Roscommon County Council,R-325,Regional
Roscommon County Council,R-326,Regional
Roscommon County Council,R-327,Regional
Roscommon County Council,R-357,Regional
Roscommon County Council,R-361,Regional
Roscommon County Council,R-362,Regional
Roscommon County Council,R-363,Regional
Roscommon County Council,R-366,Regional
Roscommon County Council,R-367,Regional
Roscommon County Council,R-368,Regional
Roscommon County Council,R-369,Regional
Roscommon County Council,R-370,Regional
Roscommon County Council,R-371,Regional
Roscommon County Council,R-377,Regional
Roscommon County Council,R-446,Regional
South Dublin County Council,R-110,Regional
South Dublin County Council,R-112,Regional
South Dublin County Council,R-113,Regional
South Dublin County Council,R-114,Regional
South Dublin County Council,R-115,Regional
South Dublin County Council,R-116,Regional
South Dublin County Council,R-120,Regional
South Dublin County Council,R-121,Regional
South Dublin County Council,R-134,Regional
South Dublin County Council,R-136,Regional
South Dublin County Council,R-137,Regional
South Dublin County Council,R-148,Regional
South Dublin County Council,R-403,Regional
South Dublin County Council,R-405,Regional
South Dublin County Council,R-810,Regional
South Dublin County Council,R-817,Regional
South Dublin County Council,R-818,Regional
South Dublin County Council,R-819,Regional
South Dublin County Council,R-821,Regional
South Dublin County Council,R-822,Regional
South Dublin County Council,R-833,Regional
South Dublin County Council,R-835,Regional
South Dublin County Council,R-838,Regional
Sligo County Council,R-277,Regional
Sligo County Council,R-278,Regional
Sligo County Council,R-279,Regional
Sligo County Council,R-284,Regional
Sligo County Council,R-286,Regional
Sligo County Council,R-287,Regional
Sligo County Council,R-290,Regional
Sligo County Council,R-291,Regional
Sligo County Council,R-292,Regional
Sligo County Council,R-293,Regional
Sligo County Council,R-294,Regional
Sligo County Council,R-295,Regional
Sligo County Council,R-296,Regional
Sligo County Council,R-297,Regional
Sligo County Council,R-298,Regional
Sligo County Council,R-361,Regional
Sligo County Council,R-870,Regional
Tipperary County Council,R-421,Regional
Tipperary County Council,R-433,Regional
Tipperary County Council,R-438,Regional
Tipperary County Council,R-445,Regional
Tipperary County Council,R-466,Regional
Tipperary County Council,R-489,Regional
Tipperary County Council,R-490,Regional
Tipperary County Council,R-491,Regional
Tipperary County Council,R-493,Regional
Tipperary County Council,R-494,Regional
Tipperary County Council,R-495,Regional
Tipperary County Council,R-496,Regional
Tipperary County Council,R-497,Regional
Tipperary County Council,R-498,Regional
Tipperary County Council,R-499,Regional
Tipperary County Council,R-500,Regional
Tipperary County Council,R-501,Regional
Tipperary County Council,R-502,Regional
Tipperary County Council,R-503,Regional
Tipperary County Council,R-504,Regional
Tipperary County Council,R-505,Regional
Tipperary County Council,R-515,Regional
Tipperary County Council,R-516,Regional
Tipperary County Council,R-639,Regional
Tipperary County Council,R-640,Regional
Tipperary County Council,R-659,Regional
Tipperary County Council,R-660,Regional
Tipperary County Council,R-661,Regional
Tipperary County Council,R-662,Regional
Tipperary County Council,R-663,Regional
Tipperary County Council,R-664,Regional
Tipperary County Council,R-665,Regional
Tipperary County Council,R-668,Regional
Tipperary County Council,R-670,Regional
Tipperary County Council,R-671,Regional
Tipperary County Council,R-676,Regional
Tipperary County Council,R-678,Regional
Tipperary County Council,R-680,Regional
Tipperary County Council,R-687,Regional
Tipperary County Council,R-688,Regional
Tipperary County Council,R-689,Regional
Tipperary County Council,R-690,Regional
Tipperary County Council,R-691,Regional
Tipperary County Council,R-692,Regional
Tipperary County Council,R-696,Regional
Tipperary County Council,R-697,Regional
Tipperary County Council,R-706,Regional
Tipperary County Council,R-707,Regional
Tipperary County Council,R-873,Regional
Tipperary County Council,R-884,Regional
Tipperary County Council,R-885,Regional
Tipperary County Council,R-906,Regional
Tipperary County Council,R-913,Regional
Tipperary County Council,R-932,Regional
Waterford County Council,R-448,Regional
Waterford County Council,R-627,Regional
Waterford County Council,R-628,Regional
Waterford County Council,R-634,Regional
Waterford County Council,R-665,Regional
Waterford County Council,R-666,Regional
Waterford County Council,R-668,Regional
Waterford County Council,R-669,Regional
Waterford County Council,R-671,Regional
Waterford County Council,R-672,Regional
Waterford County Council,R-673,Regional
Waterford County Council,R-674,Regional
Waterford County Council,R-675,Regional
Waterford County Council,R-676,Regional
Waterford County Council,R-677,Regional
Waterford County Council,R-678,Regional
Waterford County Council,R-679,Regional
Waterford County Council,R-680,Regional
Waterford County Council,R-681,Regional
Waterford County Council,R-682,Regional
Waterford County Council,R-683,Regional
Waterford County Council,R-684,Regional
Waterford County Council,R-685,Regional
Waterford County Council,R-686,Regional
Waterford County Council,R-698,Regional
Waterford County Council,R-706,Regional
Waterford County Council,R-708,Regional
Waterford County Council,R-709,Regional
Waterford County Council,R-710,Regional
Waterford County Council,R-711,Regional
Waterford County Council,R-860,Regional
Waterford County Council,R-911,Regional
Westmeath County Council,R-148,Regional
Westmeath County Council,R-156,Regional
Westmeath County Council,R-161,Regional
Westmeath County Council,R-195,Regional
Westmeath County Council,R-389,Regional
Westmeath County Council,R-390,Regional
Westmeath County Council,R-391,Regional
