,route_long_name,g_trip_headsign,route_id,route_short_name,direction_id,variation_route_id,first_stop_id,last_stop_id,first_stop_name,last_stop_name,num_stops
BR112,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5227201,Seacrest,Renmore Park,42
BR113,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5228001,Seacrest,Merlin Hospital Gate,42
BR114,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5228101,Seacrest,ATU Galway City,42
BR115,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5226901,Seacrest,The G Hotel,42
BR116,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5227801,Seacrest,Ballyloughane Road,42
BR117,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5227701,Seacrest,Fushia Drive,42
BR118,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5226201,Seacrest,Prospect Hill,42
BR119,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5226501,Seacrest,St Anthony's Tce,42
BR120,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5227501,Seacrest,Hawthorn Drive,42
BR121,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5227301,Seacrest,Dun Na Mara,42
BR122,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5226801,Seacrest,Bohermore,42
BR123,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223401,8460B5227401,Seacrest,Galway Army Barracks,42
BR124,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223501,8460B5228201,Forest Hills,Merlin Park Hospital,42
BR125,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223501,8460B5227901,Forest Hills,Dawn Dairies,42
BR126,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223501,8460B5228001,Forest Hills,Merlin Hospital Gate,42
BR127,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223501,8460B5231801,Forest Hills,Galway Cathedral,42
BR128,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223501,8460B5228101,Forest Hills,ATU Galway City,42
BR129,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223501,8460B5227601,Forest Hills,Rowan Avenue,42
BR130,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223601,8460B5228001,Westbrook,Merlin Hospital Gate,42
BR131,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223601,8460B5228201,Westbrook,Merlin Park Hospital,42
BR132,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223601,8460B5227501,Westbrook,Hawthorn Drive,42
BR133,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223601,8460B5227901,Westbrook,Dawn Dairies,42
BR134,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223701,8460B5228201,Barna Road,Merlin Park Hospital,42
BR135,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223701,8460B5228101,Barna Road,ATU Galway City,42
BR136,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223701,8460B5227901,Barna Road,Dawn Dairies,42
BR137,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223801,8460B5228101,Knocknacarra,ATU Galway City,42
BR138,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223801,8460B5228201,Knocknacarra,Merlin Park Hospital,42
BR139,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223801,8460B5227601,Knocknacarra,Rowan Avenue,42
BR140,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223901,8460B5228001,Knocknacarra Road,Merlin Hospital Gate,42
BR141,Seacrest - Eyre Square - Merlin Park,Merlin Park,402,402,0,4023_65529,8460B5223901,8460B5227901,Knocknacarra Road,Dawn Dairies,42
BR142,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5223401,Merlin Park Hospital,Seacrest,38
BR143,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5231501,Merlin Park Hospital,Kingston Gardens,38
BR144,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5231401,Merlin Park Hospital,Manor Drive,38
BR145,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5231601,Merlin Park Hospital,Shangort Road,38
BR146,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5230301,Merlin Park Hospital,Uni of Galway,38
BR147,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5230701,Merlin Park Hospital,Colmcille Road,38
BR148,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5231201,Merlin Park Hospital,Ardmore,38
BR149,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5231101,Merlin Park Hospital,Dominican Convent,38
BR150,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5230601,Merlin Park Hospital,McDara Road,38
BR151,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5231301,Merlin Park Hospital,Kingston Road,38
BR152,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5224901,Merlin Park Hospital,Maunsells Road,38
BR153,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5230801,Merlin Park Hospital,O'Connaire Road,38
BR154,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5228301,Merlin Park Hospital,Woodhaven,38
BR155,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5230901,Merlin Park Hospital,Maunsells Road,38
BR156,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5230501,Merlin Park Hospital,Costello Road,38
BR157,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228201,8460B5231001,Merlin Park Hospital,St Anne's,38
BR158,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228301,8460B5231301,Woodhaven,Kingston Road,38
BR159,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228301,8460B5223401,Woodhaven,Seacrest,38
BR160,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228301,8460B5231501,Woodhaven,Kingston Gardens,38
BR161,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228301,8460B5231601,Woodhaven,Shangort Road,38
BR162,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228301,8460B5231001,Woodhaven,St Anne's,38
BR163,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228301,8460B5230801,Woodhaven,O'Connaire Road,38
BR164,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228301,8460B5224901,Woodhaven,Maunsells Road,38
BR165,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228301,8460B5231201,Woodhaven,Ardmore,38
BR166,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228301,8460B5231401,Woodhaven,Manor Drive,38
BR167,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228301,8460B5229001,Woodhaven,Arbutus Avenue,38
BR168,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228301,8460B5231101,Woodhaven,Dominican Convent,38
BR169,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228301,8460B5230501,Woodhaven,Costello Road,38
BR170,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228401,8460B5231001,ATU Galway City,St Anne's,38
BR171,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228401,8460B5223401,ATU Galway City,Seacrest,38
BR172,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228401,8460B5231501,ATU Galway City,Kingston Gardens,38
BR173,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228501,8460B5230401,Dawn Dairies,UCH Galway,38
BR174,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228501,8460B5231201,Dawn Dairies,Ardmore,38
BR175,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228501,8460B5223401,Dawn Dairies,Seacrest,38
BR176,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228601,8460B5231501,Murrough Park,Kingston Gardens,38
BR177,Seacrest - Eyre Square - Merlin Park,Seacrest,402,402,1,4023_65529,8460B5228701,8460B5223401,Fuschia Drive,Seacrest,38
BR178,Eyre Square - Newcastle,Newcastle,404,404,0,4023_65530,8460B5225701,84605257301,Galway Cathedral,Seamus Quirke Road,20
BR179,Eyre Square - Newcastle,Newcastle,404,404,0,4023_65530,8460B5228301,8460B5255001,Woodhaven,Innishannagh,34
BR180,Eyre Square - Newcastle,Newcastle,404,404,0,4023_65530,8460B5230201,8460B5255001,Francis Street,Innishannagh,20
BR181,Eyre Square - Newcastle,Newcastle,404,404,0,4023_65530,8460B5243201,8460B5255401,Castlegar GAA Club,Westside Centre,34
BR182,Eyre Square - Newcastle,Newcastle,404,404,0,4023_65530,8460B5243301,8460B5255001,Lios An Uisce,Innishannagh,34
BR183,Eyre Square - Newcastle,Newcastle,404,404,0,4023_65530,8460B5243301,8460B5236801,Lios An Uisce,Connacht Rugby,34
BR184,Eyre Square - Newcastle,Newcastle,404,404,0,4023_65530,8460B5243701,8460B5255401,Eyre Square,Westside Centre,20
BR185,Eyre Square - Newcastle,Newcastle,404,404,0,4023_65530,8460B5243701,8460B5255001,Eyre Square,Innishannagh,20
